year_month,permno,size_group,weight,tau,ur,size_group_ppt,stock_demand_elasticity
199903,600818,Medium,0.13197228523570345,68.00354156486264,0.0019406678269811375,0.039275995752176975,21.238391756756176
199903,600830,Small,0.040429339447535115,28.54682692372552,0.001416246350445833,0.06723733292448425,48.475732525854696
199904,600613,Small,0.16743402054729556,78.02310305793894,0.0021459543902395324,0.06723733292448425,32.33213512379412
199904,600615,Medium,0.06373096137374473,86.255526478562,0.0007388623543974827,0.039275995752176975,54.15739192613924
199904,600627,Large,0.08484291759705746,164.36725300682102,0.0005161789592817287,0.010866061616414086,22.05095804667123
199904,600636,Small,0.0728386391275036,173.8182097218802,0.00041905068084667246,0.06723733292448425,161.45155394720834
199904,600646,Large,0.047883990428203176,37.78098271600397,0.0012674098709433406,0.010866061616414086,9.573439315512363
199904,600657,Medium,0.10722916815739185,44.78964585512344,0.0023940615316369158,0.039275995752176975,17.405591599528524
199904,600661,Small,0.009236868978725252,73.35133349371301,0.0001259263947739539,0.06723733292448425,534.9415381912557
199904,600667,Medium,0.03858206262874005,77.13260697406193,0.0005002043123178034,0.039275995752176975,79.51990633623942
199904,600669,Large,0.13193264319304548,41.828140756799506,0.0031541598743328974,0.010866061616414086,4.444993928442594
199904,600672,Large,0.057234153759447015,48.940771826293975,0.001169457522300401,0.010866061616414086,10.291540230584706
199904,600679,Large,0.22705217080236703,118.77275832316894,0.001911651914192146,0.010866061616414086,6.684121432225295
199904,600683,Small,0.046591290009789184,28.8715132262761,0.0016137460355692833,0.06723733292448425,42.66537450285035
199904,600699,Small,0.023983201870613504,35.369639052371845,0.0006780731303223526,0.06723733292448425,100.1594120423559
199904,600809,Medium,0.027094937576779134,62.50057391103893,0.0004335150204435738,0.039275995752176975,91.5989271421084
199904,600818,Medium,0.1258534483719154,67.70863049997487,0.0018587504641961721,0.039275995752176975,22.130321960221874
199904,600830,Medium,0.04756273322173769,28.57411542212772,0.0016645391298764488,0.039275995752176975,24.59571790606824
199904,600844,Medium,0.0057595557066644695,48.40053617108385,0.00011899776660130114,0.039275995752176975,331.0565789925298
199905,600613,Small,0.17151672023745124,93.06158347924325,0.001843045366573919,0.06723733292448425,37.48164833265788
199905,600615,Medium,0.04613340992324149,86.93571802766269,0.0005306611709189769,0.039275995752176975,75.01332131416444
199905,600627,Large,0.029258843534163914,163.064971450592,0.0001794305869242385,0.010866061616414086,61.558580355099075
