year_month,n_stocks_available,n_hold_total,avg_monthly_ur_total,demand_elasticity_total,n_ind_A,ur_ind_A,elas_ind_A,n_ind_C,ur_ind_C,elas_ind_C,n_ind_E,ur_ind_E,elas_ind_E,n_ind_I,ur_ind_I,elas_ind_I,n_ind_K,ur_ind_K,elas_ind_K,n_ind_L,ur_ind_L,elas_ind_L,n_ind_F,ur_ind_F,elas_ind_F,n_ind_J,ur_ind_J,elas_ind_J,n_ind_R,ur_ind_R,elas_ind_R,n_ind_D,ur_ind_D,elas_ind_D,n_ind_G,ur_ind_G,elas_ind_G,n_ind_B,ur_ind_B,elas_ind_B,n_ind_S,ur_ind_S,elas_ind_S,n_ind_N,ur_ind_N,elas_ind_N,n_ind_M,ur_ind_M,elas_ind_M
201302,835,25,0.0011365315322233824,191.0473548706997,1.0,,,11,0.0008026353300427756,145.81000779524425,1.0,,,1.0,,,2.0,0.002219223261201328,24.507894596269747,1.0,,,3.0,0.0015321352095682998,94.45323101587887,,,,,,,2.0,0.0036264018664412777,19.80501082367538,2.0,0.0004077025489348507,99.5002095779366,1.0,,,,,,,,,,,
201303,836,23,0.0013071597611806574,226.74177460062634,1.0,,,10,0.0007748118547522087,79.57871997319924,1.0,,,1.0,,,3.0,0.0016616405815906181,1167.4983324690402,1.0,,,3.0,0.0008988205566174244,184.01136967921698,,,,,,,2.0,0.0045943460084521895,16.826733871279394,1.0,,,,,,,,,,,,,,
201304,837,22,0.001411797014333607,80.0640163534549,1.0,,,9,0.0008137343026304291,53.567848781810035,1.0,,,1.0,,,3.0,0.0018168891665025406,118.0365407661958,1.0,,,3.0,0.0008927538825417771,166.2232066508376,,,,,,,2.0,0.005194474558677004,16.453679797523044,1.0,,,,,,,,,,,,,,
201305,839,24,0.00137130991007437,304.58863286998,1.0,,,12,0.0006080779582654381,379.03089518941937,1.0,,,1.0,,,2.0,0.003101698243728984,24.058316608240514,1.0,,,2.0,0.0013213918887025578,967.874422299283,,,,,,,2.0,0.005246200288679197,17.843829090484057,2.0,0.0007181902863658941,254.82571731337356,,,,,,,,,,,,
201306,839,26,0.001242179468958113,208.21076123008044,1.0,,,13,0.000580524959106076,288.04905147033764,2.0,0.0011383200219078232,69.67002768667699,,,,2.0,0.0029796813248459467,32.80887395933536,1.0,,,1.0,,,1.0,,,1.0,,,2.0,0.004596207640247149,365.9069806664482,2.0,0.001606970308471474,28.761235008596454,,,,,,,,,,,,
201307,839,24,0.0013543200980250276,131.43170550945362,1.0,,,10,0.0007043774128668803,73.68169148974506,2.0,0.0009634152372177552,84.97424533824318,,,,2.0,0.002922876818683682,41.36254800653694,1.0,,,1.0,,,1.0,,,2.0,0.0005040780717056696,362.9841356273639,2.0,0.0050550332837474826,315.37233813392766,2.0,0.001598034932128607,27.449203265490787,,,,,,,,,,,,
201308,838,23,0.0015526586348936467,667.2292414320033,1.0,,,11,0.0007366170135764588,72.13547331093625,2.0,0.0011173423049110108,69.08081768024847,,,,2.0,0.003216459929444033,34.94955294994941,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,2.0,0.001483769287974944,29.403651613630977,,,,,,,,,,,,
201309,839,23,0.0015665446098968182,475.057507754381,,,,10,0.0006492905934203256,890.7702489102334,2.0,0.0013499090321673337,57.38023353767872,,,,1.0,,,1.0,,,3.0,0.0016992078433212346,547.0138801406108,1.0,,,1.0,,,2.0,0.005441728668779198,32.82978486302424,2.0,0.0016018776361373462,23.397462875655904,,,,,,,,,,,,
201310,839,22,0.001628512261113648,172.49712482822858,,,,9,0.0007103380039738347,344.6842880800927,2.0,0.0014044464497369852,55.18065984322719,,,,1.0,,,1.0,,,3.0,0.0017625267808726718,78.0784575229734,1.0,,,1.0,,,2.0,0.005532688170869856,26.160377208705373,2.0,0.0015754647494845026,25.851328870115307,,,,,,,,,,,,
201311,839,26,0.0014444042543013255,386.34167265474855,,,,8,0.0007001503958011982,146.19486822292714,2.0,0.0018882478668259242,42.67428004113519,1.0,,,1.0,,,,,,5.0,0.0010820173347236485,255.23487197675914,1.0,,,2.0,0.0007495564976708194,890.2890089911527,3.0,0.004797907977212897,1628.6910358253738,3.0,0.000657652326470271,186.88809670586082,,,,,,,,,,,,
201312,839,26,0.0014881041466247168,118.77409625546282,,,,10,0.0006629431016921198,123.30023947940133,2.0,0.0020347448127216337,38.67999319837473,1.0,,,1.0,,,,,,5.0,0.0011269941497895589,254.73629765412178,,,,2.0,0.0007785448921796182,89.22249286557664,3.0,0.004964034075197338,42.145399580997896,2.0,0.0011750071630951973,55.95122887071366,,,,,,,,,,,,
201401,840,29,0.0013430711263271145,298.7117924279529,,,,12,0.0006062612455248839,81.90448038106808,2.0,0.0017785791968999128,46.68018663135873,1.0,,,1.0,,,,,,5.0,0.0012723828639861,478.01553914327235,,,,2.0,0.0009391176805156887,1765.614697506248,3.0,0.004583914648653602,86.27034417078669,2.0,0.0005348900931330815,609.2078827794369,1.0,,,,,,,,,,,
201402,840,30,0.0014592960564577709,384.51358131995323,,,,14,0.0005163487303305651,311.8433231092893,2.0,0.0016271739066896485,58.826387649598075,2.0,0.0014839388388702519,64.9760667861431,1.0,,,,,,4.0,0.0016457083263359516,163.61601496537958,,,,1.0,,,3.0,0.005082121683173708,1668.6041284689536,1.0,,,1.0,,,,,,1.0,,,,,
201403,840,31,0.0014019750480485462,430.02355429914735,,,,13,0.0005278416334331086,94.36586438318363,2.0,0.0015894159429416784,57.18507940187007,2.0,0.0014912841931313293,68.0585897246921,1.0,,,,,,5.0,0.001324266048596898,1190.5969283683933,1.0,,,1.0,,,3.0,0.0051079557294306695,976.5838380430528,1.0,,,1.0,,,,,,1.0,,,,,
201404,840,28,0.0014371382941938977,283.6943019070499,,,,12,0.000796246789188733,250.98736346870564,2.0,0.0004096511752903072,309.176952255394,2.0,0.0020841657292894706,29.69713957591096,,,,,,,3.0,0.0014176229149567953,815.894869813441,,,,2.0,0.0021500535882526283,20.445488819873123,3.0,0.004272494211625586,367.20325710110706,1.0,,,1.0,,,1.0,,,1.0,,,,,
201405,840,25,0.0010415863943781182,144.16963972272512,,,,12,0.0008210654250353063,138.70031393724824,2.0,0.0003116709163004266,397.08890504079426,2.0,0.001246038521453924,168.06342364341882,,,,,,,2.0,0.002092053726443988,46.144490877305,,,,2.0,0.0020473601729347445,21.187504169643375,2.0,0.0004988616127571098,187.49302822465708,1.0,,,1.0,,,,,,1.0,,,,,
